id,centre_type,coordinates,country,region,county,postcode
,Hospital,SRID=4326;POINT (-2.011364362292456 50.67653678616397),United Kingdom,South West (England),Dorset,BH20 5JL
,Drive through centre,SRID=4326;POINT (-4.787748149449614 54.97525064581892),United Kingdom,Scotland,Dumfries and Galloway,
,Home,SRID=4326;POINT (0.303994850857956 53.19631471727752),United Kingdom,East Midlands (England),Lincolnshire,PE24 4TS
,Hospital,SRID=4326;POINT (1.0082080424003 52.51750307769591),United Kingdom,East of England,Norfolk,NR17 2DX
,Drive through centre,SRID=4326;POINT (-0.5364723428152516 54.32305305232352),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO13 0JT
,Hospital,SRID=4326;POINT (-0.4662322622855761 52.7614291629764),United Kingdom,East Midlands (England),Lincolnshire,NG33 4RB
,Drive through centre,SRID=4326;POINT (-0.05306230042229032 52.68705145350157),United Kingdom,East Midlands (England),Lincolnshire,PE12 0UF
,Drive through centre,SRID=4326;POINT (-0.2866791173983216 51.63173100165472),United Kingdom,London,Barnet,HA8 8QX
,Drive through centre,SRID=4326;POINT (-0.02375013134213866 51.01107905300483),United Kingdom,South East (England),West Sussex,RH17 7NR
,GP clinic,SRID=4326;POINT (-5.271275650788161 56.57835928709388),United Kingdom,Scotland,Argyll and Bute,
,Hospital,SRID=4326;POINT (0.6643268399235858 52.2722773563147),United Kingdom,East of England,Suffolk,IP28 6NA
,GP clinic,SRID=4326;POINT (-1.082980365703955 53.07337451182952),United Kingdom,East Midlands (England),Nottinghamshire,NG25 0RH
,GP clinic,SRID=4326;POINT (-2.389302649309452 53.30912569186893),United Kingdom,North West (England),Cheshire East,WA16 0NF
,Hospital,SRID=4326;POINT (-4.329536503708683 56.37611258369684),United Kingdom,Scotland,Stirling,FK19 8NT
,Home,SRID=4326;POINT (-3.644052318331497 57.13933813903134),United Kingdom,Scotland,Highland,PH22 1RB
,Other,SRID=4326;POINT (-1.571264162305298 52.26659727159994),United Kingdom,West Midlands (England),Warwickshire,CV34 6SS
,Other,SRID=4326;POINT (-2.475986605951398 57.3642566294275),United Kingdom,Scotland,Aberdeenshire,AB51 5BH
,Other,SRID=4326;POINT (-5.190964055048264 58.17353049288343),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (0.4426940162620383 51.43716190235702),United Kingdom,South East (England),Kent,ME3 7JA
,Hospital,SRID=4326;POINT (-4.083550812073614 50.90811678105916),United Kingdom,South West (England),Devon,EX20 3DX
,Drive through centre,SRID=4326;POINT (-3.64135562581303 56.80077872003564),United Kingdom,Scotland,Perth and Kinross,
